Region_of_Origin,District_of_Origin,County_of_Origin,Period,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day,Average Temp
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,15-24,294.194206,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,25-34,1081.652817,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,35-44,235.836653,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,45-54,840.951323,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Female,55-64,1216.148092,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,15-24,1148.427051,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,25-34,421.94018,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,35-44,137.697607,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,45-54,617.693161,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,55-64,867.481913,17.0
R1 - AM Lisboa,Lisboa,Amadora,Sep-19 to Feb-20,Male,65+,1612.851365,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,15-24,745.379537,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,25-34,919.144204,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,35-44,816.414391,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,45-54,970.140963,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,55-64,756.408177,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Female,65+,2017.333975,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Male,15-24,4548.093582,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Male,25-34,298.292615,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Male,35-44,439.301423,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Male,45-54,690.807533,17.0
R1 - AM Lisboa,Lisboa,Cascais,Sep-19 to Feb-20,Male,55-64,822.493709,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Female,15-24,2622.526139,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Female,25-34,1505.189142,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Female,35-44,1021.261465,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Female,45-54,1217.651233,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Female,55-64,2407.573978,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Female,65+,4955.503747,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Male,15-24,3061.885495,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Male,25-34,2919.594549,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Male,35-44,1289.676418,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Male,45-54,1041.699059,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Male,55-64,1714.973185,17.0
R1 - AM Lisboa,Lisboa,Lisboa,Sep-19 to Feb-20,Male,65+,4116.755355,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Female,15-24,2529.941678,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Female,25-34,866.086815,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Female,35-44,817.834735,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Female,45-54,292.304178,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Female,55-64,264.211066,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Female,65+,147.47484,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Male,15-24,115.773418,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Male,25-34,117.599576,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Male,35-44,452.760878,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Male,45-54,774.207928,17.0
R1 - AM Lisboa,Lisboa,Loures,Sep-19 to Feb-20,Male,55-64,2105.541715,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Female,15-24,384.745532,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Female,25-34,121.57576,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Female,35-44,1615.902979,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Female,45-54,249.054524,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Male,15-24,116.974878,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Male,25-34,432.498117,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Male,35-44,23.104181,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Male,45-54,166.322924,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Male,55-64,273.979757,17.0
R1 - AM Lisboa,Lisboa,Mafra,Sep-19 to Feb-20,Male,65+,1217.08844,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Female,15-24,965.790017,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Female,25-34,461.725149,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Female,35-44,653.928959,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Female,45-54,1724.795552,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Female,55-64,816.338215,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Male,25-34,1405.963201,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Male,35-44,1683.830909,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Male,45-54,2040.400332,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Male,55-64,2031.494335,17.0
R1 - AM Lisboa,Lisboa,Odivelas,Sep-19 to Feb-20,Male,65+,5441.109494,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Female,15-24,2068.685107,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Female,25-34,21.863276,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Female,35-44,335.828948,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Female,45-54,1184.322816,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Female,55-64,3560.659986,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Female,65+,2264.585254,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Male,25-34,1126.049729,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Male,35-44,1341.769467,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Male,45-54,695.774521,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Male,55-64,1525.267809,17.0
R1 - AM Lisboa,Lisboa,Oeiras,Sep-19 to Feb-20,Male,65+,9574.868536,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Female,15-24,809.491342,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Female,25-34,702.87631,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Female,35-44,1067.548506,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Female,45-54,628.884637,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Female,55-64,575.924467,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Female,65+,341.166005,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Male,15-24,1039.44849,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Male,25-34,514.157731,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Male,35-44,560.391065,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Male,45-54,724.617493,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Male,55-64,822.201267,17.0
R1 - AM Lisboa,Lisboa,Sintra,Sep-19 to Feb-20,Male,65+,371.207607,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Female,15-24,1526.050605,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Female,25-34,57.097292,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Female,35-44,467.533246,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Female,45-54,703.039153,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Female,55-64,967.153277,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Female,65+,598.696931,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Male,25-34,791.983677,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Male,35-44,137.425488,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Male,45-54,534.709075,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Male,55-64,141.556626,17.0
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Sep-19 to Feb-20,Male,65+,4619.763109,17.0
R1 - AM Lisboa,Setúbal,Alcochete,Sep-19 to Feb-20,Female,25-34,47.734735,17.0
R1 - AM Lisboa,Setúbal,Alcochete,Sep-19 to Feb-20,Female,45-54,42.712664,17.0
R1 - AM Lisboa,Setúbal,Alcochete,Sep-19 to Feb-20,Male,35-44,148.504551,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Female,15-24,76.98526,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Female,25-34,529.797711,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Female,35-44,1113.117185,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Female,45-54,701.945176,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Female,55-64,1539.05817,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Male,15-24,1140.502352,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Male,25-34,17.528597,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Male,35-44,567.133667,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Male,45-54,734.437908,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Male,55-64,1153.217952,17.0
R1 - AM Lisboa,Setúbal,Almada,Sep-19 to Feb-20,Male,65+,754.478639,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Female,25-34,154.142963,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Female,35-44,216.209564,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Female,45-54,142.916866,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Female,55-64,592.69902,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Female,65+,6863.508899,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Male,25-34,250.727837,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Male,35-44,269.762879,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Male,45-54,159.137107,17.0
R1 - AM Lisboa,Setúbal,Barreiro,Sep-19 to Feb-20,Male,55-64,138.42494,17.0
R1 - AM Lisboa,Setúbal,Moita,Sep-19 to Feb-20,Female,15-24,25.139772,17.0
R1 - AM Lisboa,Setúbal,Moita,Sep-19 to Feb-20,Female,35-44,1126.283479,17.0
R1 - AM Lisboa,Setúbal,Moita,Sep-19 to Feb-20,Female,45-54,251.447252,17.0
R1 - AM Lisboa,Setúbal,Moita,Sep-19 to Feb-20,Male,15-24,411.24564,17.0
R1 - AM Lisboa,Setúbal,Moita,Sep-19 to Feb-20,Male,45-54,335.032273,17.0
R1 - AM Lisboa,Setúbal,Moita,Sep-19 to Feb-20,Male,55-64,17.028465,17.0
R1 - AM Lisboa,Setúbal,Montijo,Sep-19 to Feb-20,Female,35-44,65.504612,17.0
R1 - AM Lisboa,Setúbal,Montijo,Sep-19 to Feb-20,Female,45-54,33.591196,17.0
R1 - AM Lisboa,Setúbal,Montijo,Sep-19 to Feb-20,Male,25-34,602.079344,17.0
R1 - AM Lisboa,Setúbal,Montijo,Sep-19 to Feb-20,Male,35-44,217.440708,17.0
R1 - AM Lisboa,Setúbal,Montijo,Sep-19 to Feb-20,Male,45-54,747.404025,17.0
R1 - AM Lisboa,Setúbal,Montijo,Sep-19 to Feb-20,Male,55-64,224.17008,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Female,25-34,28.561207,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Female,35-44,78.45602,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Female,45-54,698.500461,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Female,55-64,978.140462,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Female,65+,2484.065644,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Male,35-44,15.544175,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Male,45-54,170.105533,17.0
R1 - AM Lisboa,Setúbal,Palmela,Sep-19 to Feb-20,Male,55-64,17.659149,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Female,15-24,1659.21487,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Female,25-34,526.222318,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Female,35-44,430.854109,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Female,45-54,532.982647,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Female,55-64,236.728677,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Female,65+,3368.063491,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Male,15-24,37.697725,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Male,25-34,1964.138353,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Male,35-44,98.771815,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Male,45-54,538.247601,17.0
R1 - AM Lisboa,Setúbal,Seixal,Sep-19 to Feb-20,Male,55-64,1141.757788,17.0
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-19 to Feb-20,Female,35-44,186.003027,17.0
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-19 to Feb-20,Female,45-54,130.390426,17.0
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-19 to Feb-20,Female,65+,67.916045,17.0
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-19 to Feb-20,Male,25-34,110.870067,17.0
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-19 to Feb-20,Male,35-44,191.243758,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Female,25-34,331.657285,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Female,35-44,105.175159,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Female,45-54,740.266994,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Female,65+,442.945625,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Male,25-34,310.902223,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Male,35-44,219.090928,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Male,45-54,292.351649,17.0
R1 - AM Lisboa,Setúbal,Setúbal,Sep-19 to Feb-20,Male,55-64,2306.435434,17.0
R2 - AM Porto,Aveiro,Espinho,Sep-19 to Feb-20,Female,25-34,282.382257,16.0
R2 - AM Porto,Aveiro,Espinho,Sep-19 to Feb-20,Female,35-44,112.209066,16.0
R2 - AM Porto,Aveiro,Espinho,Sep-19 to Feb-20,Male,25-34,324.282029,16.0
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-19 to Feb-20,Female,25-34,30.49873,16.0
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-19 to Feb-20,Female,35-44,227.205005,16.0
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-19 to Feb-20,Male,15-24,2532.403842,16.0
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-19 to Feb-20,Male,35-44,26.80014,16.0
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-19 to Feb-20,Female,25-34,153.751464,16.0
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-19 to Feb-20,Female,35-44,860.110131,16.0
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-19 to Feb-20,Female,45-54,67.578262,16.0
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-19 to Feb-20,Male,15-24,290.768477,16.0
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-19 to Feb-20,Male,25-34,734.897731,16.0
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-19 to Feb-20,Male,35-44,130.878587,16.0
