Region_of_Origin,District_of_Origin,County_of_Origin,Period,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day,Average Temp
R1 - AM Lisboa,Setúbal,Almada,Sep-20 to Jan-21,Female,55-64,675.965262,15.2
R1 - AM Lisboa,Setúbal,Almada,Sep-20 to Jan-21,Male,15-24,381.95058,15.2
R1 - AM Lisboa,Setúbal,Almada,Sep-20 to Jan-21,Male,25-34,497.588139,15.2
R1 - AM Lisboa,Setúbal,Almada,Sep-20 to Jan-21,Male,35-44,768.014057,15.2
R1 - AM Lisboa,Setúbal,Almada,Sep-20 to Jan-21,Male,45-54,589.356141,15.2
R1 - AM Lisboa,Setúbal,Almada,Sep-20 to Jan-21,Male,55-64,1059.492103,15.2
R1 - AM Lisboa,Setúbal,Almada,Sep-20 to Jan-21,Male,65+,1903.343342,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Female,25-34,58.338982,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Female,35-44,180.985328,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Female,45-54,61.886259,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Female,55-64,25.425953,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Female,65+,4419.364506,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Male,15-24,481.840792,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Male,35-44,77.071636,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Male,45-54,31.283509,15.2
R1 - AM Lisboa,Setúbal,Barreiro,Sep-20 to Jan-21,Male,55-64,372.782113,15.2
R1 - AM Lisboa,Setúbal,Moita,Sep-20 to Jan-21,Female,15-24,46.483293,15.2
R1 - AM Lisboa,Setúbal,Moita,Sep-20 to Jan-21,Female,25-34,238.880918,15.2
R1 - AM Lisboa,Setúbal,Moita,Sep-20 to Jan-21,Female,35-44,408.352184,15.2
R1 - AM Lisboa,Setúbal,Moita,Sep-20 to Jan-21,Female,45-54,216.272346,15.2
R1 - AM Lisboa,Setúbal,Moita,Sep-20 to Jan-21,Male,25-34,637.360526,15.2
R1 - AM Lisboa,Setúbal,Moita,Sep-20 to Jan-21,Male,45-54,52.656256,15.2
R1 - AM Lisboa,Setúbal,Moita,Sep-20 to Jan-21,Male,55-64,12.54729,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Female,25-34,52.056546,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Female,35-44,317.566534,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Female,45-54,24.223909,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Male,25-34,130.896738,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Male,35-44,229.471387,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Male,45-54,550.762281,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Male,55-64,135.07161,15.2
R1 - AM Lisboa,Setúbal,Montijo,Sep-20 to Jan-21,Male,65+,48.085261,15.2
R1 - AM Lisboa,Setúbal,Palmela,Sep-20 to Jan-21,Female,15-24,88.725945,15.2
R1 - AM Lisboa,Setúbal,Palmela,Sep-20 to Jan-21,Female,35-44,58.12592,15.2
R1 - AM Lisboa,Setúbal,Palmela,Sep-20 to Jan-21,Female,45-54,294.628607,15.2
R1 - AM Lisboa,Setúbal,Palmela,Sep-20 to Jan-21,Female,55-64,779.082536,15.2
R1 - AM Lisboa,Setúbal,Palmela,Sep-20 to Jan-21,Female,65+,1340.854459,15.2
R1 - AM Lisboa,Setúbal,Palmela,Sep-20 to Jan-21,Male,35-44,19.304863,15.2
R1 - AM Lisboa,Setúbal,Palmela,Sep-20 to Jan-21,Male,45-54,80.862133,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Female,15-24,1025.281174,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Female,25-34,379.832737,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Female,35-44,333.981558,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Female,45-54,324.845624,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Female,55-64,221.363489,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Female,65+,4219.519987,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Male,15-24,1631.340763,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Male,25-34,924.934533,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Male,35-44,138.548953,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Male,45-54,278.12157,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Male,55-64,1118.729895,15.2
R1 - AM Lisboa,Setúbal,Seixal,Sep-20 to Jan-21,Male,65+,148.167257,15.2
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-20 to Jan-21,Female,15-24,326.970181,15.2
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-20 to Jan-21,Female,35-44,111.245333,15.2
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-20 to Jan-21,Female,45-54,324.337211,15.2
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-20 to Jan-21,Female,55-64,137.655749,15.2
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-20 to Jan-21,Male,25-34,98.7082,15.2
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-20 to Jan-21,Male,35-44,112.852114,15.2
R1 - AM Lisboa,Setúbal,Sesimbra,Sep-20 to Jan-21,Male,45-54,51.372117,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Female,15-24,550.22508,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Female,25-34,207.029232,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Female,35-44,52.058988,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Female,45-54,586.863611,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Female,65+,543.328358,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Male,25-34,193.71344,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Male,35-44,98.191236,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Male,45-54,224.709442,15.2
R1 - AM Lisboa,Setúbal,Setúbal,Sep-20 to Jan-21,Male,55-64,395.212643,15.2
R2 - AM Porto,Aveiro,Arouca,Sep-20 to Jan-21,Male,35-44,7.725698,13.6
R2 - AM Porto,Aveiro,Espinho,Sep-20 to Jan-21,Female,25-34,104.283311,13.6
R2 - AM Porto,Aveiro,Espinho,Sep-20 to Jan-21,Female,35-44,75.527831,13.6
R2 - AM Porto,Aveiro,Espinho,Sep-20 to Jan-21,Female,55-64,45.366934,13.6
R2 - AM Porto,Aveiro,Espinho,Sep-20 to Jan-21,Male,25-34,197.786218,13.6
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-20 to Jan-21,Female,35-44,86.90637,13.6
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-20 to Jan-21,Male,15-24,456.186621,13.6
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-20 to Jan-21,Male,25-34,89.039966,13.6
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Sep-20 to Jan-21,Male,35-44,63.123921,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Female,15-24,105.282267,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Female,25-34,5.514983,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Female,35-44,472.485425,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Female,45-54,55.05125,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Male,15-24,951.633743,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Male,25-34,356.71517,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Male,35-44,98.005992,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Male,45-54,190.449031,13.6
R2 - AM Porto,Aveiro,Santa Maria da Feira,Sep-20 to Jan-21,Male,55-64,66.3251,13.6
R2 - AM Porto,Aveiro,São João da Madeira,Sep-20 to Jan-21,Female,25-34,34.994699,13.6
R2 - AM Porto,Aveiro,São João da Madeira,Sep-20 to Jan-21,Female,35-44,5.985889,13.6
R2 - AM Porto,Aveiro,São João da Madeira,Sep-20 to Jan-21,Male,35-44,24.960494,13.6
R2 - AM Porto,Aveiro,Vale de Cambra,Sep-20 to Jan-21,Female,35-44,11.664908,13.6
R2 - AM Porto,Aveiro,Vale de Cambra,Sep-20 to Jan-21,Male,65+,2458.667434,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Female,15-24,634.479167,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Female,25-34,220.325623,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Female,35-44,428.213359,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Female,45-54,661.464687,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Female,55-64,22.087562,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Female,65+,34406.41796,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Male,15-24,126.654141,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Male,25-34,607.201512,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Male,35-44,163.913975,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Male,45-54,593.235609,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Male,55-64,2257.790977,13.6
R2 - AM Porto,Porto,Gondomar,Sep-20 to Jan-21,Male,65+,3504.809322,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Female,15-24,458.625209,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Female,25-34,640.869203,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Female,35-44,138.791331,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Female,45-54,1205.591396,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Female,55-64,414.680964,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Female,65+,3087.379969,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Male,15-24,218.028919,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Male,25-34,1502.522974,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Male,35-44,882.475302,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Male,45-54,92.392382,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Male,55-64,2148.822951,13.6
R2 - AM Porto,Porto,Maia,Sep-20 to Jan-21,Male,65+,8596.305685,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Female,15-24,352.632026,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Female,25-34,491.327932,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Female,35-44,582.805507,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Female,45-54,988.858826,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Female,55-64,2753.474588,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Female,65+,1561.77024,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Male,15-24,285.538633,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Male,25-34,106.349285,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Male,35-44,409.150588,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Male,45-54,1862.092843,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Male,55-64,1901.737429,13.6
R2 - AM Porto,Porto,Matosinhos,Sep-20 to Jan-21,Male,65+,1197.436174,13.6
R2 - AM Porto,Porto,Paredes,Sep-20 to Jan-21,Female,25-34,240.284699,13.6
R2 - AM Porto,Porto,Paredes,Sep-20 to Jan-21,Female,35-44,224.706308,13.6
R2 - AM Porto,Porto,Paredes,Sep-20 to Jan-21,Male,35-44,60.632825,13.6
R2 - AM Porto,Porto,Paredes,Sep-20 to Jan-21,Male,45-54,85.516088,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Female,15-24,677.336777,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Female,25-34,415.00416,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Female,35-44,654.807128,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Female,45-54,1198.805374,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Female,55-64,2237.054054,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Female,65+,7867.453847,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Male,25-34,910.283068,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Male,35-44,857.322229,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Male,45-54,1637.997776,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Male,55-64,283.036268,13.6
R2 - AM Porto,Porto,Porto,Sep-20 to Jan-21,Male,65+,6940.273923,13.6
R2 - AM Porto,Porto,Póvoa de Varzim,Sep-20 to Jan-21,Female,25-34,11.574446,13.6
R2 - AM Porto,Porto,Póvoa de Varzim,Sep-20 to Jan-21,Female,35-44,181.693481,13.6
R2 - AM Porto,Porto,Póvoa de Varzim,Sep-20 to Jan-21,Female,45-54,104.82818,13.6
R2 - AM Porto,Porto,Póvoa de Varzim,Sep-20 to Jan-21,Male,25-34,39.465245,13.6
R2 - AM Porto,Porto,Póvoa de Varzim,Sep-20 to Jan-21,Male,35-44,1042.130337,13.6
R2 - AM Porto,Porto,Santo Tirso,Sep-20 to Jan-21,Female,25-34,42.254964,13.6
R2 - AM Porto,Porto,Santo Tirso,Sep-20 to Jan-21,Female,35-44,29.620199,13.6
R2 - AM Porto,Porto,Santo Tirso,Sep-20 to Jan-21,Male,25-34,13.274129,13.6
R2 - AM Porto,Porto,Trofa,Sep-20 to Jan-21,Female,25-34,47.813025,13.6
R2 - AM Porto,Porto,Trofa,Sep-20 to Jan-21,Female,35-44,5.725633,13.6
R2 - AM Porto,Porto,Trofa,Sep-20 to Jan-21,Female,55-64,41.747919,13.6
R2 - AM Porto,Porto,Trofa,Sep-20 to Jan-21,Male,25-34,51.031943,13.6
R2 - AM Porto,Porto,Trofa,Sep-20 to Jan-21,Male,35-44,18.224723,13.6
R2 - AM Porto,Porto,Trofa,Sep-20 to Jan-21,Male,45-54,474.481242,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Female,15-24,716.605474,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Female,25-34,375.43182,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Female,35-44,482.568197,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Female,45-54,508.75751,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Female,55-64,548.550137,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Male,15-24,1970.347331,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Male,25-34,366.664832,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Male,35-44,104.137265,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Male,45-54,135.788585,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Male,55-64,26.218829,13.6
R2 - AM Porto,Porto,Valongo,Sep-20 to Jan-21,Male,65+,1198.556609,13.6
R2 - AM Porto,Porto,Vila do Conde,Sep-20 to Jan-21,Female,25-34,283.342437,13.6
R2 - AM Porto,Porto,Vila do Conde,Sep-20 to Jan-21,Female,35-44,9.758835,13.6
R2 - AM Porto,Porto,Vila do Conde,Sep-20 to Jan-21,Female,45-54,76.844212,13.6
R2 - AM Porto,Porto,Vila do Conde,Sep-20 to Jan-21,Male,25-34,13.155082,13.6
R2 - AM Porto,Porto,Vila do Conde,Sep-20 to Jan-21,Male,35-44,17.975581,13.6
R2 - AM Porto,Porto,Vila do Conde,Sep-20 to Jan-21,Male,55-64,74.179387,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Female,15-24,192.148169,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Female,25-34,439.988329,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Female,35-44,439.588499,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Female,45-54,1251.779779,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Female,55-64,1075.529529,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Female,65+,1653.152713,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Male,15-24,4452.188395,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Male,25-34,363.461965,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Male,35-44,214.023515,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Male,45-54,1443.335763,13.6
R2 - AM Porto,Porto,Vila Nova de Gaia,Sep-20 to Jan-21,Male,55-64,374.627538,13.6
